age,workclass,education-num,occupation,hours-per-week,salary
40,Private,9,Sales,40,>50K
31,Private,4,Adm-clerical,35,<=50K
49,Private,10,Craft-repair,50,<=50K
35,Private,14,Prof-specialty,55,>50K
23,State-gov,13,Prof-specialty,20,<=50K
25,Private,11,Sales,40,>50K
28,Private,13,Craft-repair,45,>50K
33,Private,9,Transport-moving,40,<=50K
21,Private,10,Adm-clerical,45,<=50K
55,Private,7,Other-service,40,<=50K
61,Private,5,Machine-op-inspct,40,<=50K
53,Private,9,Adm-clerical,40,<=50K
26,Local-gov,12,Protective-serv,45,>50K
48,Private,10,Sales,50,>50K
28,State-gov,14,Exec-managerial,50,>50K
29,Private,9,Handlers-cleaners,45,<=50K
25,Private,10,Tech-support,40,<=50K
37,Private,9,Transport-moving,40,<=50K
43,Local-gov,13,Prof-specialty,55,<=50K
40,Local-gov,9,Transport-moving,40,<=50K
34,Private,6,Craft-repair,45,>50K
55,Private,16,Prof-specialty,30,>50K
31,Local-gov,12,Tech-support,20,<=50K
26,State-gov,15,Prof-specialty,50,<=50K
26,Private,13,Prof-specialty,50,>50K
44,Private,10,Transport-moving,40,<=50K
49,Private,9,Transport-moving,52,>50K
26,Private,9,Adm-clerical,30,<=50K
58,Private,9,Farming-fishing,40,<=50K
61,Private,11,Tech-support,40,>50K
26,Private,13,Farming-fishing,40,<=50K
64,Private,9,Adm-clerical,25,<=50K
41,Private,10,Tech-support,40,>50K
45,Private,9,Handlers-cleaners,40,<=50K
39,Private,13,Sales,50,>50K
41,Local-gov,9,Other-service,40,<=50K
51,Private,7,Other-service,40,<=50K
34,Private,11,Adm-clerical,40,<=50K
33,Private,14,Exec-managerial,45,>50K
23,Private,10,Other-service,40,>50K
41,Private,7,Priv-house-serv,25,<=50K
39,Private,14,Craft-repair,50,<=50K
41,Private,10,Sales,55,<=50K
22,Private,9,Other-service,40,<=50K
25,Private,10,Exec-managerial,45,<=50K
25,Private,10,Machine-op-inspct,40,<=50K
66,Private,9,Sales,40,<=50K
19,Private,10,Sales,35,<=50K
44,Private,9,Other-service,38,<=50K
28,Private,10,Sales,50,<=50K
19,Private,9,Handlers-cleaners,40,<=50K
43,Private,9,Machine-op-inspct,40,>50K
39,Private,13,Tech-support,40,>50K
33,Private,13,Sales,50,<=50K
44,Private,9,Other-service,40,<=50K
62,Private,4,Machine-op-inspct,40,<=50K
40,Private,10,Sales,50,>50K
41,Private,9,Other-service,6,<=50K
23,Local-gov,10,Other-service,30,<=50K
48,Private,9,Craft-repair,40,>50K
38,Private,14,Prof-specialty,45,<=50K
37,Private,14,Exec-managerial,50,>50K
45,Private,14,Prof-specialty,55,>50K
29,Private,9,Protective-serv,40,<=50K
66,Local-gov,9,Adm-clerical,25,<=50K
19,Private,9,Other-service,50,<=50K
23,Private,5,Handlers-cleaners,39,<=50K
34,Private,13,Tech-support,40,>50K
39,Private,14,Exec-managerial,45,<=50K
43,Private,10,Sales,10,<=50K
27,Private,9,Transport-moving,99,<=50K
33,State-gov,10,Adm-clerical,35,<=50K
26,Private,3,Farming-fishing,30,<=50K
46,Private,9,Sales,36,<=50K
38,Private,12,Craft-repair,40,<=50K
90,Private,7,Craft-repair,40,<=50K
20,Private,9,Adm-clerical,15,<=50K
29,Private,9,Craft-repair,48,<=50K
49,Private,7,Transport-moving,75,<=50K
23,Private,9,Other-service,35,<=50K
20,Private,10,Sales,18,<=50K
57,Private,13,Exec-managerial,40,<=50K
46,Private,12,Prof-specialty,40,<=50K
33,Private,13,Prof-specialty,40,>50K
24,Private,13,Sales,55,<=50K
49,Private,11,Craft-repair,45,<=50K
54,Private,9,Transport-moving,65,<=50K
46,Federal-gov,16,Prof-specialty,50,>50K
19,Private,9,Machine-op-inspct,40,<=50K
46,Private,12,Adm-clerical,40,<=50K
43,Private,13,Prof-specialty,40,<=50K
58,Private,9,Craft-repair,40,<=50K
21,Federal-gov,8,Adm-clerical,25,<=50K
52,State-gov,14,Adm-clerical,70,>50K
34,Private,11,Craft-repair,32,>50K
28,Private,11,Handlers-cleaners,40,<=50K
34,Private,9,Transport-moving,40,<=50K
29,Private,9,Machine-op-inspct,40,>50K
39,Private,9,Farming-fishing,65,<=50K
49,Private,7,Machine-op-inspct,35,<=50K
35,Private,10,Craft-repair,50,>50K
31,Private,10,Other-service,20,<=50K
18,Private,10,Handlers-cleaners,30,<=50K
47,Local-gov,9,Other-service,40,>50K
46,Private,9,Sales,50,<=50K
43,Private,13,Sales,40,>50K
51,Federal-gov,9,Craft-repair,40,>50K
21,Private,10,Adm-clerical,40,<=50K
31,State-gov,13,Prof-specialty,35,>50K
39,Local-gov,9,Protective-serv,40,>50K
58,Private,7,Adm-clerical,48,<=50K
36,Private,14,Prof-specialty,40,<=50K
38,Private,9,Machine-op-inspct,40,<=50K
31,Private,13,Exec-managerial,35,>50K
19,Private,7,Handlers-cleaners,40,<=50K
38,Private,11,Tech-support,36,<=50K
26,Private,11,Prof-specialty,60,<=50K
38,Private,12,Adm-clerical,16,<=50K
36,Private,10,Craft-repair,45,<=50K
40,Private,9,Exec-managerial,45,>50K
25,Private,13,Tech-support,40,<=50K
41,Private,13,Tech-support,25,>50K
33,Private,9,Sales,45,<=50K
51,Private,9,Machine-op-inspct,40,<=50K
34,Private,9,Sales,40,<=50K
33,Private,11,Sales,40,<=50K
25,Private,6,Craft-repair,45,<=50K
19,Private,10,Adm-clerical,25,<=50K
47,Private,9,Exec-managerial,40,>50K
26,Private,13,Adm-clerical,40,<=50K
21,State-gov,10,Other-service,14,<=50K
36,Private,9,Other-service,60,>50K
60,Private,6,Machine-op-inspct,40,<=50K
28,Private,9,Prof-specialty,40,<=50K
19,Private,9,Adm-clerical,14,<=50K
42,Private,13,Prof-specialty,90,<=50K
36,Private,9,Machine-op-inspct,36,<=50K
35,Private,9,Other-service,38,<=50K
22,Private,10,Adm-clerical,25,<=50K
54,Private,9,Craft-repair,40,>50K
36,Private,13,Prof-specialty,45,<=50K
55,Private,9,Transport-moving,65,<=50K
57,Private,14,Adm-clerical,40,<=50K
56,Private,4,Transport-moving,36,<=50K
24,Private,9,Exec-managerial,50,<=50K
35,Local-gov,13,Prof-specialty,40,>50K
34,Private,9,Exec-managerial,44,<=50K
36,Private,12,Adm-clerical,42,<=50K
51,Local-gov,5,Other-service,40,<=50K
42,Private,9,Exec-managerial,50,<=50K
25,State-gov,13,Prof-specialty,40,<=50K
22,Private,9,Handlers-cleaners,50,<=50K
37,Private,9,Craft-repair,40,<=50K
48,Private,13,Sales,40,>50K
61,Private,13,Prof-specialty,50,>50K
40,Private,8,Transport-moving,40,<=50K
52,Private,9,Farming-fishing,20,<=50K
18,Private,7,Other-service,20,<=50K
27,Private,6,Machine-op-inspct,40,<=50K
63,Private,5,Craft-repair,16,<=50K
31,Private,10,Adm-clerical,40,<=50K
41,Private,9,Exec-managerial,40,<=50K
28,Private,13,Prof-specialty,40,<=50K
31,Private,15,Prof-specialty,50,>50K
32,Private,11,Craft-repair,55,>50K
30,Private,9,Handlers-cleaners,72,<=50K
39,Local-gov,9,Craft-repair,40,<=50K
28,Private,13,Sales,50,<=50K
31,Private,9,Handlers-cleaners,35,<=50K
44,State-gov,14,Prof-specialty,40,>50K
22,Private,10,Farming-fishing,25,<=50K
42,Private,9,Other-service,40,<=50K
36,Private,12,Craft-repair,35,<=50K
39,Private,14,Exec-managerial,40,<=50K
61,Private,10,Exec-managerial,40,<=50K
31,Private,9,Transport-moving,40,<=50K
21,Private,10,Other-service,25,<=50K
21,Private,10,Other-service,15,<=50K
21,Private,10,Other-service,24,<=50K
81,Private,10,Sales,15,<=50K
34,Private,13,Prof-specialty,65,<=50K
41,Private,9,Other-service,45,<=50K
63,Private,9,Other-service,20,<=50K
24,Private,10,Machine-op-inspct,40,<=50K
20,Private,9,Adm-clerical,40,<=50K
44,Local-gov,13,Prof-specialty,60,<=50K
31,Private,10,Craft-repair,40,<=50K
41,Private,4,Craft-repair,40,<=50K
63,Private,9,Adm-clerical,40,<=50K
44,Private,14,Prof-specialty,45,>50K
37,Private,9,Craft-repair,46,>50K
28,Private,10,Craft-repair,50,>50K
57,Private,9,Adm-clerical,40,<=50K
22,Private,10,Farming-fishing,10,<=50K
33,Local-gov,13,Adm-clerical,45,>50K
30,Private,10,Adm-clerical,55,<=50K
20,Private,9,Craft-repair,40,<=50K
28,Private,13,Adm-clerical,45,<=50K
54,Private,7,Priv-house-serv,10,<=50K
20,Private,9,Handlers-cleaners,35,<=50K
34,Private,9,Exec-managerial,40,<=50K
21,Private,10,Adm-clerical,40,<=50K
29,State-gov,10,Other-service,40,<=50K
51,Private,10,Exec-managerial,40,<=50K
39,Private,9,Machine-op-inspct,70,<=50K
19,Private,10,Adm-clerical,38,<=50K
22,Local-gov,9,Farming-fishing,40,<=50K
59,State-gov,10,Adm-clerical,38,<=50K
18,Private,7,Sales,13,<=50K
22,Private,9,Other-service,20,<=50K
42,Local-gov,10,Craft-repair,40,>50K
39,Private,12,Craft-repair,40,<=50K
31,Private,13,Sales,40,>50K
28,Private,7,Craft-repair,40,<=50K
22,Private,13,Exec-managerial,7,<=50K
67,Private,14,Other-service,40,<=50K
17,Private,7,Sales,25,<=50K
47,Federal-gov,12,Adm-clerical,40,>50K
23,Private,13,Adm-clerical,5,<=50K
20,Private,9,Other-service,40,<=50K
22,Private,9,Sales,40,<=50K
47,State-gov,4,Transport-moving,40,<=50K
49,Private,10,Sales,40,>50K
35,State-gov,10,Exec-managerial,40,<=50K
52,Federal-gov,10,Exec-managerial,40,<=50K
29,Private,9,Sales,40,<=50K
35,Private,10,Craft-repair,35,<=50K
18,Private,10,Sales,15,<=50K
24,Private,9,Adm-clerical,40,<=50K
33,Local-gov,13,Prof-specialty,50,<=50K
40,Private,10,Exec-managerial,55,<=50K
55,Private,9,Adm-clerical,40,<=50K
44,Private,9,Prof-specialty,40,<=50K
40,Private,13,Prof-specialty,60,<=50K
22,Private,9,Handlers-cleaners,40,<=50K
55,Private,10,Exec-managerial,40,>50K
45,Private,9,Tech-support,26,<=50K
47,Local-gov,13,Prof-specialty,50,>50K
56,Private,9,Craft-repair,40,<=50K
44,Private,9,Machine-op-inspct,40,<=50K
32,State-gov,10,Adm-clerical,38,<=50K
17,Private,6,Other-service,20,<=50K
44,Private,10,Exec-managerial,50,<=50K
35,Private,13,Sales,60,>50K
27,Private,9,Other-service,40,<=50K
32,Private,9,Prof-specialty,50,<=50K
68,Private,7,Transport-moving,70,<=50K
20,Private,10,Other-service,20,<=50K
33,Private,10,Adm-clerical,40,<=50K
24,Private,5,Handlers-cleaners,12,<=50K
48,Private,9,Craft-repair,45,<=50K
45,Private,14,Prof-specialty,50,<=50K
48,Private,10,Adm-clerical,40,<=50K
28,Private,14,Prof-specialty,45,>50K
39,Local-gov,14,Prof-specialty,40,<=50K
23,Private,10,Other-service,30,<=50K
23,State-gov,8,Exec-managerial,40,<=50K
36,Private,10,Adm-clerical,40,<=50K
25,Private,13,Prof-specialty,40,<=50K
52,Private,9,Other-service,40,<=50K
41,Private,9,Exec-managerial,40,<=50K
45,Private,13,Sales,42,>50K
37,Federal-gov,14,Prof-specialty,40,>50K
58,Private,11,Prof-specialty,40,<=50K
48,Private,9,Prof-specialty,8,<=50K
63,Private,9,Craft-repair,48,<=50K
24,Local-gov,10,Protective-serv,72,>50K
43,Private,10,Craft-repair,40,>50K
36,Private,9,Transport-moving,60,<=50K
32,Private,9,Transport-moving,72,<=50K
36,Private,10,Craft-repair,40,<=50K
43,Private,10,Adm-clerical,50,<=50K
27,Private,9,Adm-clerical,40,<=50K
17,Private,7,Other-service,12,<=50K
45,Private,13,Sales,46,<=50K
48,Local-gov,12,Adm-clerical,40,<=50K
26,Private,10,Other-service,24,<=50K
54,Private,1,Farming-fishing,60,<=50K
22,Private,10,Sales,48,<=50K
19,Private,9,Transport-moving,35,<=50K
47,Private,4,Handlers-cleaners,40,<=50K
32,Private,9,Other-service,20,<=50K
46,Private,13,Exec-managerial,60,>50K
30,Private,13,Tech-support,40,>50K
35,Private,14,Exec-managerial,40,<=50K
52,Private,11,Tech-support,40,<=50K
17,Private,6,Other-service,10,<=50K
32,Private,13,Prof-specialty,32,<=50K
43,Local-gov,14,Prof-specialty,40,>50K
26,Private,9,Machine-op-inspct,40,<=50K
41,Federal-gov,14,Exec-managerial,40,>50K
49,Private,12,Sales,60,>50K
52,State-gov,10,Protective-serv,40,<=50K
35,Private,9,Adm-clerical,32,<=50K
57,Private,7,Other-service,52,<=50K
35,Private,11,Prof-specialty,44,<=50K
33,Private,13,Prof-specialty,40,<=50K
56,Private,4,Transport-moving,40,<=50K
42,Private,13,Sales,60,<=50K
17,Private,10,Adm-clerical,20,<=50K
49,Private,9,Adm-clerical,35,<=50K
39,Private,15,Prof-specialty,45,>50K
22,Private,8,Other-service,35,<=50K
27,Private,11,Craft-repair,40,<=50K
21,Private,10,Sales,25,<=50K
44,Private,13,Adm-clerical,40,>50K
26,Private,7,Craft-repair,40,<=50K
48,Private,13,Exec-managerial,45,>50K
39,Private,13,Exec-managerial,70,<=50K
34,Private,9,Other-service,32,<=50K
54,State-gov,13,Exec-managerial,38,<=50K
36,Private,9,Transport-moving,50,>50K
60,Private,9,Prof-specialty,40,<=50K
50,Private,9,Protective-serv,40,>50K
48,Local-gov,13,Prof-specialty,45,<=50K
35,Private,10,Adm-clerical,40,<=50K
30,Private,13,Exec-managerial,70,<=50K
31,Private,9,Craft-repair,60,<=50K
46,Local-gov,12,Adm-clerical,40,<=50K
38,Private,13,Exec-managerial,40,<=50K
24,Private,13,Other-service,30,<=50K
24,Private,10,Sales,50,<=50K
27,Private,13,Prof-specialty,48,<=50K
43,State-gov,12,Other-service,30,<=50K
48,Private,9,Handlers-cleaners,40,<=50K
41,Private,9,Craft-repair,40,<=50K
30,Private,10,Tech-support,45,<=50K
38,Private,13,Sales,40,>50K
45,Private,15,Prof-specialty,40,>50K
45,Private,13,Prof-specialty,40,<=50K
55,Private,10,Adm-clerical,38,<=50K
24,Private,13,Prof-specialty,40,<=50K
31,Local-gov,10,Adm-clerical,25,<=50K
35,Private,9,Craft-repair,35,<=50K
37,Local-gov,10,Adm-clerical,40,<=50K
29,Private,10,Prof-specialty,45,<=50K
56,Private,13,Exec-managerial,50,>50K
25,Private,13,Exec-managerial,60,<=50K
33,Private,6,Machine-op-inspct,40,<=50K
44,Private,9,Sales,40,<=50K
21,Private,9,Craft-repair,40,<=50K
21,Private,9,Adm-clerical,40,<=50K
46,Federal-gov,14,Exec-managerial,40,>50K
63,Private,13,Exec-managerial,40,<=50K
44,Private,9,Adm-clerical,30,<=50K
31,Private,10,Craft-repair,45,<=50K
26,Private,10,Exec-managerial,42,<=50K
33,Private,13,Craft-repair,45,<=50K
38,Private,13,Exec-managerial,40,<=50K
26,Private,11,Sales,35,<=50K
24,Private,9,Other-service,35,<=50K
47,Local-gov,14,Prof-specialty,35,>50K
27,Private,10,Tech-support,30,<=50K
46,Private,10,Craft-repair,40,<=50K
47,Federal-gov,12,Adm-clerical,40,>50K
47,Private,9,Adm-clerical,40,<=50K
69,Private,9,Machine-op-inspct,40,<=50K
32,Private,9,Sales,40,>50K
51,Private,9,Transport-moving,40,<=50K
36,Private,9,Sales,40,>50K
50,Local-gov,14,Prof-specialty,40,<=50K
29,Private,16,Prof-specialty,60,<=50K
32,Private,15,Prof-specialty,40,<=50K
27,Private,6,Transport-moving,75,<=50K
60,Private,4,Adm-clerical,35,<=50K
31,Private,9,Other-service,40,<=50K
46,Private,12,Craft-repair,40,<=50K
40,Local-gov,9,Adm-clerical,40,<=50K
39,Private,10,Craft-repair,52,>50K
56,Private,9,Adm-clerical,40,<=50K
47,Federal-gov,10,Adm-clerical,40,<=50K
25,Private,12,Tech-support,45,<=50K
63,Private,10,Craft-repair,45,<=50K
29,Local-gov,14,Prof-specialty,50,<=50K
64,Private,10,Adm-clerical,40,<=50K
44,Private,13,Prof-specialty,40,<=50K
26,Private,9,Craft-repair,60,<=50K
36,Private,6,Other-service,40,<=50K
55,State-gov,13,Adm-clerical,38,>50K
37,Private,9,Handlers-cleaners,40,>50K
37,Private,6,Machine-op-inspct,65,<=50K
63,Private,13,Prof-specialty,36,>50K
33,Private,9,Transport-moving,60,<=50K
19,Private,10,Adm-clerical,10,<=50K
57,Local-gov,14,Prof-specialty,40,>50K
31,Private,12,Sales,45,>50K
58,Local-gov,9,Exec-managerial,40,>50K
25,Private,10,Sales,40,<=50K
40,Private,9,Adm-clerical,40,<=50K
18,Private,7,Other-service,20,<=50K
26,Private,9,Adm-clerical,40,<=50K
29,Private,16,Prof-specialty,50,>50K
45,Local-gov,13,Prof-specialty,40,<=50K
35,State-gov,10,Adm-clerical,38,<=50K
32,Private,10,Machine-op-inspct,45,<=50K
26,State-gov,13,Prof-specialty,15,<=50K
56,Private,9,Craft-repair,40,>50K
22,Private,10,Adm-clerical,39,<=50K
49,Private,13,Machine-op-inspct,48,<=50K
40,Private,9,Other-service,12,<=50K
37,Private,9,Exec-managerial,40,<=50K
28,Private,13,Sales,60,>50K
27,Private,9,Machine-op-inspct,40,<=50K
49,Private,5,Handlers-cleaners,45,<=50K
41,Private,10,Craft-repair,40,<=50K
28,Private,13,Adm-clerical,21,<=50K
38,Private,10,Exec-managerial,55,>50K
47,State-gov,12,Protective-serv,40,<=50K
28,Local-gov,9,Protective-serv,40,<=50K
44,State-gov,14,Prof-specialty,50,>50K
41,Federal-gov,13,Prof-specialty,40,<=50K
50,Private,15,Prof-specialty,36,>50K
21,Private,10,Other-service,40,<=50K
38,Private,9,Adm-clerical,40,<=50K
47,Private,10,Tech-support,40,<=50K
52,Private,10,Transport-moving,60,>50K
24,Private,13,Sales,45,<=50K
44,Private,13,Exec-managerial,40,>50K
27,Private,4,Machine-op-inspct,40,<=50K
58,Private,13,Sales,40,>50K
51,Private,13,Sales,43,>50K
49,Private,10,Sales,55,<=50K
23,Private,10,Adm-clerical,20,<=50K
19,Private,11,Adm-clerical,40,<=50K
21,Private,9,Farming-fishing,53,<=50K
56,Private,7,Sales,40,<=50K
35,Private,8,Craft-repair,40,<=50K
37,Federal-gov,10,Tech-support,20,<=50K
41,Private,16,Sales,50,>50K
30,Private,7,Sales,40,<=50K
35,Private,16,Tech-support,20,<=50K
47,Private,10,Craft-repair,40,<=50K
55,Private,7,Machine-op-inspct,32,<=50K
31,Private,6,Adm-clerical,40,<=50K
30,Private,14,Adm-clerical,40,>50K
24,Private,13,Exec-managerial,48,<=50K
23,Private,4,Craft-repair,25,<=50K
50,Private,9,Adm-clerical,35,<=50K
38,Private,13,Adm-clerical,40,<=50K
45,Private,9,Other-service,50,<=50K
46,Federal-gov,13,Prof-specialty,50,>50K
19,Private,9,Other-service,30,<=50K
31,Federal-gov,13,Exec-managerial,40,<=50K
38,Private,9,Other-service,40,<=50K
24,Private,13,Exec-managerial,40,<=50K
58,Local-gov,9,Exec-managerial,50,<=50K
28,Private,9,Other-service,40,<=50K
22,Private,9,Other-service,40,<=50K
46,Private,9,Transport-moving,40,<=50K
30,Private,1,Farming-fishing,40,<=50K
56,Private,13,Adm-clerical,45,>50K
32,Private,9,Machine-op-inspct,40,<=50K
56,Private,9,Transport-moving,44,>50K
50,Private,10,Exec-managerial,40,<=50K
30,Private,13,Adm-clerical,40,<=50K
24,Private,9,Machine-op-inspct,40,<=50K
42,Federal-gov,11,Prof-specialty,40,<=50K
18,Private,7,Sales,20,<=50K
46,Private,6,Other-service,25,<=50K
31,Private,13,Sales,65,>50K
38,Local-gov,13,Prof-specialty,40,>50K
44,Local-gov,14,Prof-specialty,40,>50K
19,Private,9,Other-service,20,<=50K
45,Private,14,Exec-managerial,40,>50K
53,Private,5,Other-service,40,<=50K
45,Private,10,Other-service,40,<=50K
21,Private,6,Adm-clerical,39,<=50K
37,Private,13,Tech-support,40,>50K
42,Federal-gov,9,Adm-clerical,40,<=50K
46,Private,13,Machine-op-inspct,40,<=50K
32,Private,10,Tech-support,20,<=50K
30,Private,15,Prof-specialty,50,<=50K
37,Private,9,Machine-op-inspct,56,<=50K
32,Private,10,Sales,40,>50K
43,Private,13,Prof-specialty,40,>50K
46,Private,14,Prof-specialty,50,<=50K
33,Private,14,Exec-managerial,40,<=50K
48,Private,9,Adm-clerical,40,<=50K
34,Private,9,Sales,40,<=50K
34,Local-gov,10,Protective-serv,50,>50K
33,Private,9,Farming-fishing,40,<=50K
36,Private,13,Exec-managerial,60,<=50K
23,Private,9,Sales,55,<=50K
39,Private,9,Exec-managerial,40,<=50K
22,Private,12,Sales,25,<=50K
19,Private,9,Farming-fishing,20,<=50K
47,Private,9,Sales,45,>50K
46,Private,11,Transport-moving,50,<=50K
47,Private,14,Sales,6,<=50K
52,Local-gov,10,Transport-moving,40,<=50K
58,Private,9,Sales,40,>50K
32,Private,3,Other-service,40,<=50K
20,Private,10,Adm-clerical,25,<=50K
25,Private,12,Sales,48,<=50K
36,State-gov,13,Prof-specialty,44,<=50K
28,Private,13,Prof-specialty,45,>50K
20,Private,10,Adm-clerical,20,<=50K
21,Private,4,Farming-fishing,40,<=50K
37,Private,13,Tech-support,40,>50K
21,Private,9,Machine-op-inspct,32,<=50K
39,Private,9,Other-service,40,<=50K
34,Private,11,Other-service,40,>50K
33,Local-gov,9,Craft-repair,40,<=50K
47,Private,9,Transport-moving,50,>50K
29,Private,11,Adm-clerical,40,<=50K
48,Private,9,Tech-support,89,<=50K
29,Private,7,Machine-op-inspct,40,<=50K
34,Private,9,Handlers-cleaners,40,<=50K
20,Private,10,Other-service,25,<=50K
41,Private,14,Prof-specialty,40,>50K
45,Private,10,Exec-managerial,50,<=50K
23,Private,9,Handlers-cleaners,44,<=50K
19,Private,10,Adm-clerical,38,<=50K
24,Private,10,Craft-repair,40,<=50K
20,Private,10,Sales,30,<=50K
32,Private,9,Craft-repair,40,<=50K
52,Private,14,Prof-specialty,50,>50K
36,Private,9,Sales,60,>50K
18,Private,6,Machine-op-inspct,30,<=50K
27,Private,9,Sales,40,<=50K
26,Private,10,Sales,60,<=50K
52,Private,12,Prof-specialty,32,<=50K
24,Private,10,Craft-repair,40,<=50K
42,Federal-gov,9,Adm-clerical,40,<=50K
39,Private,15,Prof-specialty,60,>50K
20,State-gov,10,Adm-clerical,10,<=50K
39,Private,9,Handlers-cleaners,40,<=50K
35,Private,9,Machine-op-inspct,48,<=50K
54,Private,13,Other-service,40,<=50K
24,Private,13,Exec-managerial,40,<=50K
24,Private,13,Prof-specialty,8,<=50K
20,Private,10,Adm-clerical,15,<=50K
28,Private,13,Prof-specialty,35,<=50K
38,Private,10,Machine-op-inspct,55,>50K
22,Private,9,Adm-clerical,60,<=50K
56,Private,9,Machine-op-inspct,40,<=50K
24,Private,13,Prof-specialty,45,<=50K
22,Private,12,Adm-clerical,40,<=50K
21,Private,10,Exec-managerial,30,<=50K
42,Private,13,Exec-managerial,40,>50K
41,Local-gov,14,Prof-specialty,55,<=50K
19,Private,9,Other-service,20,<=50K
20,Private,10,Sales,30,<=50K
32,Private,9,Craft-repair,40,<=50K
46,Private,9,Machine-op-inspct,40,<=50K
52,Private,9,Sales,36,<=50K
44,Private,13,Prof-specialty,40,<=50K
37,Local-gov,13,Prof-specialty,40,>50K
35,Private,9,Machine-op-inspct,35,<=50K
30,Private,9,Adm-clerical,45,<=50K
64,Local-gov,9,Craft-repair,40,<=50K
48,Private,9,Adm-clerical,37,>50K
35,Private,4,Tech-support,40,<=50K
33,Private,10,Sales,40,<=50K
40,Private,10,Craft-repair,50,>50K
25,Private,4,Sales,45,<=50K
30,Private,10,Machine-op-inspct,40,>50K
53,Private,10,Adm-clerical,40,<=50K
63,Private,9,Adm-clerical,40,<=50K
27,Local-gov,10,Protective-serv,60,<=50K
31,Private,7,Craft-repair,40,<=50K
33,Private,9,Transport-moving,60,<=50K
39,State-gov,13,Protective-serv,40,>50K
19,Private,9,Other-service,30,<=50K
31,Private,13,Prof-specialty,40,<=50K
53,Private,9,Craft-repair,40,<=50K
27,Private,16,Adm-clerical,40,<=50K
22,Private,9,Tech-support,40,<=50K
29,Private,9,Sales,40,>50K
52,Private,9,Sales,40,<=50K
32,Private,11,Craft-repair,46,<=50K
23,Private,9,Sales,40,<=50K
27,Private,10,Adm-clerical,20,<=50K
53,Private,9,Machine-op-inspct,40,<=50K
18,Private,9,Handlers-cleaners,20,<=50K
41,Private,13,Sales,30,<=50K
27,Private,9,Machine-op-inspct,40,<=50K
30,Private,10,Sales,40,<=50K
41,Private,9,Tech-support,40,<=50K
21,Private,10,Adm-clerical,30,<=50K
58,State-gov,9,Other-service,40,<=50K
45,State-gov,13,Protective-serv,40,<=50K
40,Private,6,Transport-moving,40,<=50K
21,Private,10,Adm-clerical,40,<=50K
29,Private,13,Prof-specialty,40,<=50K
50,Private,11,Other-service,40,<=50K
26,Private,9,Craft-repair,40,<=50K
23,Private,9,Handlers-cleaners,40,<=50K
27,Private,13,Tech-support,40,<=50K
36,Local-gov,13,Adm-clerical,40,<=50K
22,Federal-gov,9,Adm-clerical,40,<=50K
37,Federal-gov,10,Other-service,40,<=50K
54,Private,13,Transport-moving,40,<=50K
36,Private,9,Farming-fishing,50,<=50K
44,Private,11,Exec-managerial,40,<=50K
38,Private,10,Protective-serv,40,>50K
49,Private,10,Craft-repair,40,<=50K
18,Private,7,Handlers-cleaners,12,<=50K
26,Private,13,Sales,48,<=50K
48,Private,13,Adm-clerical,45,>50K
32,Private,7,Machine-op-inspct,40,<=50K
35,State-gov,9,Tech-support,40,<=50K
40,Private,9,Adm-clerical,45,<=50K
42,State-gov,15,Prof-specialty,72,>50K
30,Private,9,Sales,40,<=50K
19,Private,10,Sales,20,<=50K
36,Private,12,Sales,60,>50K
31,Private,9,Sales,40,<=50K
50,Federal-gov,12,Exec-managerial,60,<=50K
38,Private,9,Craft-repair,40,<=50K
35,Private,10,Prof-specialty,50,>50K
45,Private,13,Prof-specialty,40,>50K
29,Private,6,Sales,40,<=50K
41,Private,10,Craft-repair,46,>50K
33,Private,15,Prof-specialty,50,>50K
49,Private,10,Other-service,60,<=50K
28,Private,10,Exec-managerial,40,>50K
49,Local-gov,13,Protective-serv,40,>50K
27,Private,9,Machine-op-inspct,40,<=50K
42,State-gov,16,Exec-managerial,40,>50K
30,Private,9,Exec-managerial,60,<=50K
37,Local-gov,9,Craft-repair,40,<=50K
37,Private,16,Prof-specialty,35,<=50K
51,Private,9,Sales,38,<=50K
27,Federal-gov,9,Other-service,40,<=50K
53,Private,9,Sales,40,<=50K
45,Private,9,Craft-repair,40,<=50K
40,Federal-gov,13,Prof-specialty,40,<=50K
54,State-gov,14,Prof-specialty,40,>50K
35,Private,9,Other-service,40,>50K
33,Private,9,Machine-op-inspct,40,<=50K
28,Local-gov,10,Adm-clerical,40,<=50K
39,State-gov,13,Exec-managerial,55,>50K
33,Private,13,Sales,40,<=50K
34,Private,7,Other-service,40,<=50K
53,Private,9,Transport-moving,40,>50K
21,Private,12,Adm-clerical,35,<=50K
31,State-gov,16,Exec-managerial,55,>50K
63,Private,9,Prof-specialty,45,<=50K
59,Private,9,Craft-repair,40,>50K
50,Private,2,Prof-specialty,40,<=50K
19,Private,9,Transport-moving,30,<=50K
31,Private,13,Tech-support,45,<=50K
23,Private,13,Prof-specialty,40,<=50K
45,Private,11,Exec-managerial,40,>50K
35,Local-gov,13,Prof-specialty,40,<=50K
32,Private,13,Craft-repair,40,<=50K
20,Private,4,Machine-op-inspct,60,<=50K
38,Private,9,Exec-managerial,40,>50K
49,Private,9,Other-service,8,<=50K
64,Private,9,Machine-op-inspct,40,<=50K
60,Local-gov,7,Transport-moving,20,<=50K
25,Private,13,Prof-specialty,50,<=50K
21,Private,9,Craft-repair,35,<=50K
